Ethno-Racial Group,Month,Share of COVID-19 cases,Count of COVID-19 cases,Share of Toronto population,Population,Missing
East Asian,2021-02-01,7.62%,545,13.28%,354515,"Analysis for this month excludes those for whom the race question was not asked (18%), and those who selected that they would prefer not to answer (9%)"
Latin American,2021-02-01,7.76%,555,2.89%,77165,"Analysis for this month excludes those for whom the race question was not asked (18%), and those who selected that they would prefer not to answer (9%)"
South Asian or Indo-Caribbean,2021-02-01,20.38%,1457,12.70%,338970,"Analysis for this month excludes those for whom the race question was not asked (18%), and those who selected that they would prefer not to answer (9%)"
Southeast Asian,2021-02-01,14.06%,1005,7.28%,194360,"Analysis for this month excludes those for whom the race question was not asked (18%), and those who selected that they would prefer not to answer (9%)"
White,2021-02-01,26.97%,1928,48.07%,1282745,"Analysis for this month excludes those for whom the race question was not asked (18%), and those who selected that they would prefer not to answer (9%)"
"Arab or Middle Eastern or West Asian",2021-03-01,7.19%,1027,3.61%,96350,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
Black,2021-03-01,12.38%,1769,8.99%,239850,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
East Asian,2021-03-01,7.77%,1110,13.28%,354515,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
Latin American,2021-03-01,8.87%,1268,2.89%,77165,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
South Asian or Indo-Caribbean,2021-03-01,17.85%,2551,12.70%,338970,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
Southeast Asian,2021-03-01,12.88%,1840,7.28%,194360,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
White,2021-03-01,31.21%,4460,48.07%,1282745,"Analysis for this month excludes those for whom the race question was not asked (13%), and those who selected that they would prefer not to answer (9%)"
"Arab or Middle Eastern or West Asian",2021-04-01,6.67%,1462,3.61%,96350,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
Black,2021-04-01,14.27%,3129,8.99%,239850,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
East Asian,2021-04-01,6.98%,1532,13.28%,354515,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
Latin American,2021-04-01,8.12%,1780,2.89%,77165,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
South Asian or Indo-Caribbean,2021-04-01,20.26%,4444,12.70%,338970,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
Southeast Asian,2021-04-01,12.99%,2849,7.28%,194360,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
White,2021-04-01,28.88%,6334,48.07%,1282745,"Analysis for this month excludes those for whom the race question was not asked (31%), and those who selected that they would prefer not to answer (6%)"
